Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
Yealink,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
46.0,MP52 E2 comman area team phone ,MP52 E2,15000,19500,232.1428571,0.18,,2025-01-13 00:00:00,
47.0,Entry team phone ,MP54 E2,19000,24700,294.047619,0.18,,2025-01-14 00:00:00,
48.0,Executive team phone ,MP58-WH E2,29000,37700,448.8095238,0.18,,2025-01-15 00:00:00,
49.0,Standard team phone ,MP56 E2,24000,31200,371.4285714,0.18,,2025-01-16 00:00:00,
50.0,ceiling microphone,CM20,70000,91000,1083.333333,0.18,,2025-01-17 00:00:00,
51.0,SkySound 2-Way Coaxial Network Celling Speaker,CS10,31000,40300,479.7619048,0.18,,2025-01-18 00:00:00,
52.0," Includes the CM20 ceiling microphone, a pair of
 CS10 ceiling speakers, and an RCH40 E2 switch. ",CMKit-121,143000,185900,2213.095238,0.18,,2025-01-19 00:00:00,
53.0,"Room Scheduler 8-Inch E2 Multi-Point
 Interactive Room Panel        ",1303172,58000,75400,897.6190476,0.18,,2025-06-02 00:00:00,
54.0,"MCoreKit, MCore Pro, Gen-3 Mini-PC
 MTouch Plus, Gen-3 touch panel, RoomSensor",MCore Kit-C5-MS,229000,297700,3544.047619,0.18,,2025-06-02 00:00:00,
55.0,Yealink Sharing Box VCH51, VCH51,22500,29250,348.2142857,0.18,,2025-06-03 00:00:00,
56.0,"Yealink RoomPanel E2 
• 8 inch Multi-Point Interactive Panel
• Anti-Fingerprint Screen
• High Visibility LED Bars out Room Status
• Ambient Light & Proximity Sensor Embedded
• Optional Orentiation
• PoE or DC Power
• Remote Device Management
• 802.11 ac Wi-Fi Support and Bluetooth 5.0
• Includes 2-Year Hardware Warranty",Room Panel E2,48000,62400,742.8571429,0.18,,2025-07-21 00:00:00,
57.0,,,,,,,,,
